Rank,Date,Location,Opponent,Result,Cmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,Yards,YardsPerPlay,PassFirstDowns,RushFirstDowns,PenFirstDowns,TotalFirstDowns,Penalties,PenaltyYards,Fumbles,Interceptions,Turnovers,Team,game_id
1.0,2023-09-02,,Robert Morris,W (42-7),2,3,66.7,95,1,56,374,6.7,5,59,469,7.9,2,19,3,24,2,10,1,0,1,Air Force,/cfb/boxscores/2023-09-02-air-force.html
2.0,2023-09-09,N,Sam Houston,W (13-3),1,3,33.3,14,0,59,244,4.1,1,62,258,4.2,1,16,1,18,2,20,1,0,1,Air Force,/cfb/boxscores/2023-09-09-sam-houston-state.html
3.0,2023-09-15,,Utah State,W (39-21),3,4,75.0,84,0,64,344,5.4,5,68,428,6.3,3,21,0,24,6,60,0,0,0,Air Force,/cfb/boxscores/2023-09-15-air-force.html
4.0,2023-09-22,@,San Jose State,W (45-20),2,2,100.0,28,0,73,400,5.5,6,75,428,5.7,2,23,0,25,4,43,0,0,0,Air Force,/cfb/boxscores/2023-09-22-san-jose-state.html
5.0,2023-09-30,,San Diego State,W (49-10),6,7,85.7,189,2,52,287,5.5,4,59,476,8.1,6,17,1,24,1,5,0,0,0,Air Force,/cfb/boxscores/2023-09-30-air-force.html
6.0,2023-10-14,,Wyoming,W (34-27),6,9,66.7,58,1,53,356,6.7,3,62,414,6.7,3,18,1,22,1,9,2,0,2,Air Force,/cfb/boxscores/2023-10-14-air-force.html
1.0,2023-09-02,@,Temple,L (21-24),17,29,58.6,205,2,28,74,2.6,1,57,279,4.9,6,6,1,13,10,82,0,1,1,Akron,/cfb/boxscores/2023-09-02-temple.html
2.0,2023-09-09,,Morgan State,W (24-21),25,34,73.5,266,1,25,4,0.2,0,59,270,4.6,10,7,0,17,8,70,2,3,5,Akron,/cfb/boxscores/2023-09-09-akron.html
3.0,2023-09-16,@,Kentucky,L (3-35),29,41,70.7,190,0,25,49,2.0,0,66,239,3.6,9,7,0,16,6,41,1,0,1,Akron,/cfb/boxscores/2023-09-16-kentucky.html
4.0,2023-09-23,@,Indiana,L (27-29),26,44,59.1,211,0,40,263,6.6,3,84,474,5.6,7,15,2,24,10,98,0,3,3,Akron,/cfb/boxscores/2023-09-23-indiana.html
5.0,2023-09-30,,Buffalo,L (10-13),19,28,67.9,136,1,27,117,4.3,0,55,253,4.6,8,7,0,15,2,20,1,0,1,Akron,/cfb/boxscores/2023-09-30-akron.html
6.0,2023-10-07,,Northern Illinois,L (14-55),19,34,55.9,146,1,41,107,2.6,1,75,253,3.4,8,7,4,19,4,35,0,1,1,Akron,/cfb/boxscores/2023-10-07-akron.html
7.0,2023-10-14,@,Central Michigan,L (10-17),16,34,47.1,123,1,19,70,3.7,0,53,193,3.6,5,4,1,10,9,57,0,2,2,Akron,/cfb/boxscores/2023-10-14-central-michigan.html
1.0,2023-09-02,,Middle Tennessee State,W (56-7),17,24,70.8,226,3,40,205,5.1,5,64,431,6.7,7,13,4,24,2,19,0,0,0,Alabama,/cfb/boxscores/2023-09-02-alabama.html
2.0,2023-09-09,,Texas,L (24-34),14,27,51.9,255,2,35,107,3.1,0,62,362,5.8,10,7,1,18,10,90,0,2,2,Alabama,/cfb/boxscores/2023-09-09-alabama.html
3.0,2023-09-16,@,South Florida,W (17-3),10,23,43.5,107,0,42,203,4.8,2,65,310,4.8,3,10,3,16,5,35,1,0,1,Alabama,/cfb/boxscores/2023-09-16-south-florida.html
4.0,2023-09-23,,Mississippi,W (24-10),17,21,81.0,225,1,45,131,2.9,1,66,356,5.4,9,9,2,20,6,60,0,1,1,Alabama,/cfb/boxscores/2023-09-23-alabama.html
5.0,2023-09-30,@,Mississippi State,W (40-17),10,13,76.9,164,0,43,193,4.5,3,56,357,6.4,8,9,0,17,6,40,0,0,0,Alabama,/cfb/boxscores/2023-09-30-mississippi-state.html
6.0,2023-10-07,@,Texas A&M,W (26-20),21,33,63.6,321,3,26,23,0.9,0,59,344,5.8,14,2,0,16,14,99,1,1,2,Alabama,/cfb/boxscores/2023-10-07-texas-am.html
7.0,2023-10-14,,Arkansas,W (24-21),10,21,47.6,238,2,42,177,4.2,1,63,415,6.6,7,11,0,18,5,45,0,0,0,Alabama,/cfb/boxscores/2023-10-14-alabama.html
1.0,2023-09-02,,Gardner-Webb,W (45-24),18,24,75.0,247,5,43,147,3.4,1,67,394,5.9,12,9,2,23,2,20,0,0,0,Appalachian State,/cfb/boxscores/2023-09-02-appalachian-state.html
2.0,2023-09-09,@,North Carolina,L (34-40),22,43,51.2,275,2,44,219,5.0,2,87,494,5.7,16,11,3,30,7,70,0,1,1,Appalachian State,/cfb/boxscores/2023-09-09-north-carolina.html
3.0,2023-09-16,,East Carolina,W (43-28),17,29,58.6,241,3,45,239,5.3,3,74,480,6.5,11,11,1,23,4,25,1,1,2,Appalachian State,/cfb/boxscores/2023-09-16-appalachian-state.html
4.0,2023-09-23,@,Wyoming,L (19-22),22,40,55.0,200,0,50,217,4.3,0,90,417,4.6,13,11,3,27,2,15,1,1,2,Appalachian State,/cfb/boxscores/2023-09-23-wyoming.html
5.0,2023-09-30,@,Louisiana-Monroe,W (41-40),27,39,69.2,335,3,37,201,5.4,1,76,536,7.1,16,9,3,28,6,48,2,2,4,Appalachian State,/cfb/boxscores/2023-09-30-louisiana-monroe.html
6.0,2023-10-10,,Coastal Carolina,L (24-27),18,31,58.1,305,2,26,111,4.3,1,57,416,7.3,9,6,3,18,6,60,1,0,1,Appalachian State,/cfb/boxscores/2023-10-10-appalachian-state.html
1.0,2023-09-02,,Northern Arizona,W (38-3),20,26,76.9,292,3,27,186,6.9,1,53,478,9.0,11,11,1,23,11,91,1,1,2,Arizona,/cfb/boxscores/2023-09-02-arizona.html
2.0,2023-09-09,@,Mississippi State,L (24-31),33,47,70.2,340,2,25,91,3.6,1,72,431,6.0,16,4,3,23,5,55,1,4,5,Arizona,/cfb/boxscores/2023-09-09-mississippi-state.html
