Rank,Date,Location,Opponent,Result,Cmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,Plays,Yards,YardsPerPlay,PassFirstDowns,RushFirstDowns,PenFirstDowns,TotalFirstDowns,Penalties,PenaltyYards,Fumbles,Interceptions,Turnovers,Team,game_id
1.0,2020-10-03,,Navy,W (40-7),4,9,44.4,41,0,53,369,7.0,4,62,410,6.6,3,20,2,25,3,23,0,0,0,Air Force,/cfb/boxscores/2020-10-03-air-force.html
2.0,2020-10-24,@,San Jose State,L (6-17),9,17,52.9,92,1,49,206,4.2,0,66,298,4.5,3,14,0,17,4,55,2,0,2,Air Force,/cfb/boxscores/2020-10-24-san-jose-state.html
3.0,2020-10-31,,Boise State,L (30-49),4,7,57.1,69,0,66,415,6.3,4,73,484,6.6,3,22,3,28,6,43,0,0,0,Air Force,/cfb/boxscores/2020-10-31-air-force.html
4.0,2020-11-20,,New Mexico,W (28-0),4,5,80.0,66,0,63,356,5.7,4,68,422,6.2,4,18,1,23,5,42,3,0,3,Air Force,/cfb/boxscores/2020-11-20-air-force.html
5.0,2020-12-03,@,Utah State,W (35-7),7,9,77.8,127,1,55,334,6.1,4,64,461,7.2,6,17,1,24,6,67,0,0,0,Air Force,/cfb/boxscores/2020-12-03-utah-state.html
6.0,2020-12-19,@,Army,L (7-10),6,14,42.9,107,1,26,154,5.9,0,40,261,6.5,4,7,0,11,3,15,0,3,3,Air Force,/cfb/boxscores/2020-12-19-army.html
1.0,2020-11-04,,Western Michigan,L (13-58),19,32,59.4,126,1,32,130,4.1,0,64,256,4.0,5,7,3,15,5,39,1,1,2,Akron,/cfb/boxscores/2020-11-04-akron.html
2.0,2020-11-10,@,Ohio,L (10-24),18,30,60.0,218,1,42,216,5.1,0,72,434,6.0,8,12,0,20,4,40,1,2,3,Akron,/cfb/boxscores/2020-11-10-ohio.html
3.0,2020-11-17,@,Kent State,L (35-69),9,15,60.0,154,0,41,212,5.2,4,56,366,6.5,7,11,3,21,5,35,1,1,2,Akron,/cfb/boxscores/2020-11-17-kent-state.html
4.0,2020-11-28,,Miami (OH),L (7-38),16,27,59.3,141,1,28,4,0.1,0,55,145,2.6,9,1,4,14,3,15,0,1,1,Akron,/cfb/boxscores/2020-11-28-akron.html
5.0,2020-12-05,,Bowling Green State,W (31-3),9,17,52.9,87,1,39,195,5.0,2,56,282,5.0,5,8,2,15,3,12,0,0,0,Akron,/cfb/boxscores/2020-12-05-akron.html
6.0,2020-12-12,@,Buffalo,L (7-56),12,27,44.4,112,0,30,92,3.1,1,57,204,3.6,6,3,1,10,4,49,0,1,1,Akron,/cfb/boxscores/2020-12-12-buffalo.html
1.0,2020-09-26,@,Missouri,W (38-19),23,32,71.9,303,2,36,111,3.1,3,68,414,6.1,15,7,0,22,7,49,1,0,1,Alabama,/cfb/boxscores/2020-09-26-missouri.html
2.0,2020-10-03,,Texas A&M,W (52-24),20,27,74.1,435,4,28,109,3.9,2,55,544,9.9,14,6,2,22,6,40,0,1,1,Alabama,/cfb/boxscores/2020-10-03-alabama.html
3.0,2020-10-10,@,Mississippi,W (63-48),28,32,87.5,417,2,39,306,7.8,7,71,723,10.2,22,13,2,37,8,76,1,0,1,Alabama,/cfb/boxscores/2020-10-10-mississippi.html
4.0,2020-10-17,,Georgia,W (41-24),24,33,72.7,417,4,43,147,3.4,1,76,564,7.4,19,10,4,33,6,43,0,1,1,Alabama,/cfb/boxscores/2020-10-17-alabama.html
5.0,2020-10-24,@,Tennessee,W (48-17),28,36,77.8,417,0,40,170,4.3,5,76,587,7.7,20,9,1,30,7,45,1,0,1,Alabama,/cfb/boxscores/2020-10-24-tennessee.html
6.0,2020-10-31,,Mississippi State,W (41-0),24,33,72.7,291,4,40,208,5.2,0,73,499,6.8,11,12,3,26,10,71,1,0,1,Alabama,/cfb/boxscores/2020-10-31-alabama.html
7.0,2020-11-21,,Kentucky,W (63-3),18,26,69.2,283,3,40,226,5.7,5,66,509,7.7,13,13,3,29,4,30,0,1,1,Alabama,/cfb/boxscores/2020-11-21-alabama.html
8.0,2020-11-28,,Auburn,W (42-13),18,26,69.2,302,5,27,143,5.3,1,53,445,8.4,11,8,1,20,4,30,1,0,1,Alabama,/cfb/boxscores/2020-11-28-alabama.html
9.0,2020-12-05,@,Louisiana State,W (55-17),20,29,69.0,385,4,43,265,6.2,3,72,650,9.0,14,16,2,32,4,43,1,0,1,Alabama,/cfb/boxscores/2020-12-05-louisiana-state.html
10.0,2020-12-12,@,Arkansas,W (52-3),27,33,81.8,227,0,38,216,5.7,6,71,443,6.2,13,9,2,24,2,23,1,0,1,Alabama,/cfb/boxscores/2020-12-12-arkansas.html
11.0,2020-12-19,N,Florida,W (52-46),33,43,76.7,418,5,40,187,4.7,2,83,605,7.3,21,11,1,33,8,72,0,1,1,Alabama,/cfb/boxscores/2020-12-19-florida.html
12.0,2021-01-01,N,Notre Dame*,W (31-14),25,30,83.3,297,4,24,142,5.9,0,54,439,8.1,15,8,1,24,6,59,0,0,0,Alabama,/cfb/boxscores/2021-01-01-alabama.html
13.0,2021-01-11,N,Ohio State*,W (52-24),36,45,80.0,464,5,38,157,4.1,2,83,621,7.5,22,10,1,33,6,44,1,0,1,Alabama,/cfb/boxscores/2021-01-11-alabama.html
1.0,2020-09-12,,Charlotte,W (35-20),14,21,66.7,204,1,50,308,6.2,4,71,512,7.2,10,16,3,29,7,65,2,1,3,Appalachian State,/cfb/boxscores/2020-09-12-appalachian-state.html
2.0,2020-09-19,@,Marshall,L (7-17),22,39,56.4,268,1,33,96,2.9,0,72,364,5.1,11,6,9,26,8,82,1,1,2,Appalachian State,/cfb/boxscores/2020-09-19-marshall.html
3.0,2020-09-26,,Campbell,W (52-21),12,18,66.7,131,0,60,404,6.7,7,78,535,6.9,7,22,2,31,5,45,0,0,0,Appalachian State,/cfb/boxscores/2020-09-26-appalachian-state.html
4.0,2020-10-22,,Arkansas State,W (45-17),16,23,69.6,216,4,44,305,6.9,2,67,521,7.8,11,10,1,22,8,98,1,1,2,Appalachian State,/cfb/boxscores/2020-10-22-appalachian-state.html
5.0,2020-10-31,@,Louisiana-Monroe,W (31-13),13,18,72.2,152,2,52,328,6.3,2,70,480,6.9,5,18,3,26,4,45,0,1,1,Appalachian State,/cfb/boxscores/2020-10-31-louisiana-monroe.html
6.0,2020-11-07,@,Texas State,W (38-17),18,28,64.3,168,3,43,258,6.0,1,71,426,6.0,8,14,0,22,11,94,0,0,0,Appalachian State,/cfb/boxscores/2020-11-07-texas-state.html
7.0,2020-11-14,,Georgia State,W (17-13),19,26,73.1,180,1,46,132,2.9,1,72,312,4.3,6,10,3,19,2,14,0,1,1,Appalachian State,/cfb/boxscores/2020-11-14-appalachian-state.html
8.0,2020-11-21,@,Coastal Carolina,L (23-34),17,30,56.7,211,1,46,204,4.4,1,76,415,5.5,6,16,0,22,8,51,0,3,3,Appalachian State,/cfb/boxscores/2020-11-21-coastal-carolina.html
